ds,yhat,yhat_lower,yhat_upper
2025-12-31,209804.3947145651,188889.98698828628,228791.8256002629
2026-01-31,186950.07600951532,168202.68402291564,206975.54867410753
2026-02-28,169719.97818850714,151393.2489749462,188486.222554448
2026-03-31,218481.17234091356,198327.86721681806,236865.29330238828
2026-04-30,192259.88407245744,173824.59458843156,212406.16868335524
2026-05-31,205046.3151000323,185712.19839812318,224315.80444298027
2026-06-30,188981.4735196278,170233.98027903165,208405.95990852162
2026-07-31,212996.99462360077,193519.039562714,232921.65882397935
2026-08-31,177713.2576788877,158527.57516872376,197823.05751225067
2026-09-30,206754.2173234591,187322.79956205105,225504.95606554695
2026-10-31,203454.73399834379,184159.13442528478,221676.87509810054
2026-11-30,207546.32098080666,190084.6726499097,228266.52554892912
