ds,yhat,yhat_lower,yhat_upper
2025-12-31,209804.3947145651,190385.85828417176,229675.3291708356
2026-01-31,186950.07600951532,167799.25036803918,204567.75156185447
2026-02-28,169719.97818850714,150613.1972974241,189577.44733985548
2026-03-31,218481.17234091356,199724.8481303544,237720.28798325334
2026-04-30,192259.88407245744,172230.91325566752,211535.0551149628
2026-05-31,205046.3151000323,185665.3184073893,224038.16552179508
2026-06-30,188981.4735196278,169668.48267417072,208775.71335139681
2026-07-31,212996.99462360077,192832.54048546444,232209.07622869418
2026-08-31,177713.2576788877,159282.4407302569,198610.65829483536
2026-09-30,206754.2173234591,188045.88399563258,225559.72694031577
2026-10-31,203454.73399834379,185618.8316861216,221945.58735131845
2026-11-30,207546.32098080666,187965.2170262131,227131.28819385485
